Genes	Groups	s_stA	s_stB	s_stL	s_stSyn
BIN2	1	0.9953271028037384	0.9866071428571429	0.9901526341703595	0.9860529986052998
STAG3	1	0.9976635514018691	0.9776785714285714	0.9906450024618415	0.9818688981868898
WAS	1	0.9789719626168224	0.9776785714285714	0.982767109798129	0.99721059972106
KLF4	1	0.9836448598130841	0.9821428571428571	0.983259478089611	0.99860529986053
PAQR6	1	0.9953271028037384	0.9955357142857143	0.9906450024618415	0.9707112970711297
CKS2	1	0.9953271028037384	0.9955357142857143	0.9739044805514525	0.99581589958159
CYTIP	1	0.9883177570093458	0.9955357142857143	0.9980305268340719	0.9888423988842399
SOX7	1	0.9906542056074766	0.9955357142857143	0.9940915805022157	0.99721059972106
CFAP221	1	0.9742990654205608	0.9776785714285714	0.9985228951255539	0.9776847977684798
LIPT1	1	0.9976635514018691	0.9866071428571429	0.9807976366322009	0.9790794979079498
DND1	1	0.9929906542056075	0.9910714285714286	0.9857213195470211	0.9888423988842399
CENPS	1	0.9953271028037384	0.9910714285714286	0.9709502708025604	0.9846582984658299
CCM2L	1	0.985981308411215	0.9866071428571429	0.9926144756277696	0.99581589958159
SLC24A1	1	0.9976635514018691	0.9910714285714286	0.9783357951747907	0.9860529986052998
NAIF1	1	0.9883177570093458	0.9776785714285714	0.9758739537173806	0.99581589958159
TESMIN	1	0.9976635514018691	0.9955357142857143	0.9960610536681438	0.99721059972106
DUOX1	1	0.9719626168224299	0.9955357142857143	0.999015263417036	0.9804741980474198
CHEK2	1	0.9906542056074766	0.9732142857142857	0.9921221073362876	0.9888423988842399
GPR160	1	0.9789719626168224	0.9955357142857143	0.9935992122107337	0.9818688981868898
VSIG10L	1	0.9929906542056075	0.9910714285714286	0.9935992122107337	0.99302649930265
RECQL4	1	0.9929906542056075	0.9776785714285714	0.9921221073362876	0.9874476987447699
MORN3	1	0.9836448598130841	0.9821428571428571	0.999015263417036	0.9888423988842399
CYB5RL	1	0.9883177570093458	0.9866071428571429	0.983259478089611	0.9846582984658299
KCTD14	1	0.9813084112149533	0.9821428571428571	0.9743968488429345	0.99721059972106
RASGRP4	1	0.9929906542056075	0.9866071428571429	0.9921221073362876	0.9832635983263598
FAAP24	1	0.9906542056074766	0.9866071428571429	0.9955686853766618	0.9944211994421199
DUSP2	1	0.9813084112149533	0.9910714285714286	0.9975381585425899	0.9860529986052998
FAM47E	1	0.9953271028037384	0.9866071428571429	0.9867060561299852	0.99581589958159
PIWIL2	1	0.9976635514018691	0.9910714285714286	0.9985228951255539	0.9804741980474198
TMEM79	1	0.985981308411215	0.9776785714285714	0.9803052683407188	0.9790794979079498
KIF20B	1	0.9929906542056075	0.9866071428571429	0.9965534219596258	0.99302649930265
VMAC	1	0.9789719626168224	0.9821428571428571	0.9729197439684885	0.9735006973500697
HIST1H4H	1	0.9953271028037384	0.9821428571428571	0.999507631708518	0.99581589958159
CD84	1	0.9836448598130841	0.9732142857142857	0.9935992122107337	0.9832635983263598
PIK3R5	1	0.9906542056074766	0.9821428571428571	0.9945839487936977	0.9846582984658299
APOLD1	1	0.9813084112149533	0.9776785714285714	0.983259478089611	0.9902370990237099
EGR2	1	0.9953271028037384	0.9955357142857143	0.9970457902511078	0.9888423988842399
CENPH	1	0.9836448598130841	0.9866071428571429	0.9950763170851797	0.9888423988842399
IRF5	1	0.985981308411215	0.9776785714285714	0.9807976366322009	0.9721059972105998
SPIN4	1	0.9976635514018691	0.9866071428571429	0.9901526341703595	0.99721059972106
CCDC146	1	0.9976635514018691	0.9776785714285714	0.9867060561299852	0.9735006973500697
EXOC3L2	1	0.9953271028037384	0.9910714285714286	0.9970457902511078	0.9832635983263598
ARHGAP11A	1	0.9929906542056075	0.9910714285714286	0.9926144756277696	0.99721059972106
ANKAR	1	0.9953271028037384	0.9776785714285714	0.9960610536681438	0.99721059972106
SNX20	1	0.9953271028037384	0.9910714285714286	0.9985228951255539	0.9832635983263598
BTK	1	0.9766355140186916	0.9821428571428571	0.9975381585425899	0.9721059972105998
PLAC8	1	0.9883177570093458	0.9866071428571429	0.9935992122107337	0.99860529986053
ADGRG2	1	0.9906542056074766	0.9866071428571429	0.9980305268340719	0.9804741980474198
SLC14A1	1	0.985981308411215	0.9955357142857143	0.9975381585425899	0.9735006973500697
MAP4K1	1	0.9719626168224299	0.9955357142857143	0.9891678975873953	0.99721059972106
GBP5	1	0.9976635514018691	0.9910714285714286	0.9891678975873953	0.9944211994421199
LRRC56	1	0.9883177570093458	0.9910714285714286	0.9945839487936977	0.9902370990237099
EFCAB11	1	0.9906542056074766	0.9910714285714286	0.982274741506647	0.9776847977684798
FKBPL	1	0.9813084112149533	0.9776785714285714	0.9803052683407188	0.9818688981868898
PLK1	1	0.9719626168224299	0.9776785714285714	0.9906450024618415	0.9888423988842399
MAP3K21	1	0.9906542056074766	0.9776785714285714	0.9719350073855244	0.9818688981868898
NUAK2	1	0.9883177570093458	0.9955357142857143	0.9891678975873953	0.9902370990237099
